t,absZ,spacing
1122334455.055854081795975533737927538096700002830102845794457955816537516668682860761336647118997954,4.242121193245860732656165248520810025901114339226231974433988137954356126769953573225016225638984025e-22,0
1122334455.76031733677095186350835049571870227573769745536211492284087166589876142992541578050648273,1.236356513699945163824186001812710189801992049894939411117755712266905220019263914798735748734646955e-23,0.7044632549749763297704229576220022729075946095676569670243341492300785691640791333874847760798297246
1122334455.965493410795584360825949042008980207405029773798332073453324525616669646731519046803568105,1.380709625742907156218414272671514023548582705577829480636789330825165505293303333024911047320544389e-19,0.2051760740246324973175985462902779316673323184362171506124528597179082168061032662970853748096675145
1122334456.551220034550965675188059616631527186286787137820684302663506608595473961929913294029991443,1.043675704087872952821975214318516529327238249151231643204506775466337350060702104032503377929222767e-22,0.5857266237553813143621105746225469788817573640223522292101820829788043151983942472264233378493595352
1122334456.69117656282847361682640086578613693696115124531479812624187618434413753431043187588962605,2.966331327765337414054722515056550026952409061727008378821948086472275442946035146817006692012146753e-22,0.1399565282775079416383412491546097506743641074941138235783695757486635723805185818596346072119479692
1122334456.838678691967550303643295634942674344762189159923935832917903625280511839766484142947967307,4.347350974601605368675577170375067703424101106829160820504384270500441704895137896678529264111682434e-20,0.1475021291390766868168947691565374078010379146091377066760274409363743054560522670583412574795726509
1122334457.153714186839451914867230667079529514899685077560918629733542535141040430013640334502497443,3.966602023361368523172796905678957305428913749646142826833263138399105731553244010499083922203508432e-24,0.3150354948719016112239350321368551701374959176369827968156389098605285902471561915545301355095323533
1122334457.513905119891187172546115394189812312154063576329440323909654922106859452367985893864146824,5.679351096841177606237203000788672764966425934617805478056047840754157530094053690279080989732368887e-21,0.3601909330517352576788847271102827972543784987685216941761123869658190223543455593616493814879553484
1122334457.768387415106201134552397349169627078651273048519808936968805255646591452625412982084839935,2.170733690964062548596481763107416797377850154290793619098406952413286278346285053668438429799659691e-22,0.2544822952150139620062819549798147664972094721903686130591503335397320002574270882206931103346684904
1122334458.271555122430265693741686520413552126559723949518148586017034286162303849390607796782020137,1.720482479340008104538088242151287190371015393014746202156845341142103637940527266796861052393574725e-22,0.5031677073240645591892891712439250479084509009983396490482290305157123967651948146971802021113389459
1122334458.441391368416926329391348946135265083093563076290781289278888300907888692907773021560029999,1.396111695688864567233258881350139445942079783953159049739125309137179317625104986762298456083727321e-22,0.1698362459866606356496624257217129565338391267726327032618540147455848435171652247780098627385935056
1122334458.895014252125852792159130847222486893469992491995107234791903148734306347115501447750049184,4.537531029640154629406474100294845647353843675972816627984613047025143853533194378691575665521834337e-21,0.4536228837089264627677819010872218103764294157043259455130148478264176542077284261900191847542325304
1122334458.953746218222777855581145137580060544449530928566549096907891989064716863951263752264540735,1.016636270384001822305798360213914113744580444698504612216043209284131424530034311416983208083368461e-19,0.05873196609692506342201429035757365097953843657144186211598884033041051683576230451449155080845358617
1122334459.471809900486127143473287996432370772352453834459284012336504352920157843129486266155241225,1.819792987977283891493326426854602210095131769621516645831279648773044613802422785355306425459998609e-20,0.5180636822633492878921428588523102279029229058927349154286123638554409791782225138907004903973127485
1122334459.786295128416328637168588915326502912707849093358521033151574564251645675532411342837272017,4.139380662148691912885680405630958321145878718897962897497745044834218004150660273528496991181432919e-22,0.3144852279302014936953009188941321403553952588992370208150702113314878324029250766820307917711334803
1122334460.102221328166639332364598324533828007446212846742070914815394155367985261504415973603702363,7.614350914702422146690658121335105392796530640790948815352359257009048127505149499997816518885393356e-20,0.3159261997503106951960094092073250947383637533835498816638195911163395859720046307664303461615221948
1122334460.349227855303987792205414413662407466014242483480453120598144429911929226586363275842474709,2.0861407958345542542481044228910098270736342691226057429206960518120345788522731404740685759146373e-19,0.2470065271373484598408160891285794585680296367383822057827502745439439650819473022387723459622739976
1122334460.789242674752190100971014782691177278052429378308181881695028277305071674457110524410582139,4.639198127416298895689859219137166116561915335777473442966030862771303966391017178038013832848064884e-22,0.4400148194482023087656003690287698120381868948277287610968838473931424478707472485681074295951923001
1122334461.031299792230858706829395175785221374116506844961497631747366581164597628772730662400134285,4.590419941264084751340157773527414784552359767386077363815436842441626149171705125604395922005524338e-23,0.2420571174786686058583803930940440960640774666533157500523383038595259543156201379895521460940843402
1122334461.341054118391807898692456303017140296442802349663957224602686845147761215385551299894050995,1.150135067308824549778117019447990342438698138004204914553835301727910346279594438775680800601374356e-24,0.3097543261609491918630611272319189223262955047024595928553202639831635866128206374939167097270063091
1122334461.680975133405904250156630665881745387353329693622292730556505990657690016625503297443303563,1.67833168703161989638789994096413716259436515813862742772265019956910856215829817606726908364123299e-23,0.3399210150140963514641743628646050909105273439583355059538191455099288012399519975492525687254243058
1122334462.056536075532675811548594875985419694174531197641600884761057176744344126168674263427521926,3.313115354664896607700339411998244340332761506683976079117955165556738723289261114823708459991174054e-21,0.3755609421267715613919642101036743068212015040193081542045511860866541095431709659842183626382559608
1122334462.359990916781923317013346669033614181453349415919737922377733603457880333073595997479943656,4.150098396447917845244041450719701645806006245363038316341310941300973110697718798144646470669192366e-22,0.3034548412492475054647517930481944872788182182781370376166764267135362069049217340524217296216947593
1122334462.710450605022158788685177345463245758204797304099022197005938194075248276665794192581512077,5.585340363342997694829062147119300617857521593565313532033506902479122366649119940112817739735457119e-22,0.3504596882402354716718306764296315767514478881792842746282045906173679435921981951015684217651503277
1122334463.225701757610363625859612606052965841403113861488873159240137042755844236687308293530894301,1.244023036352877258644707773661608485375713493201860566853960151115253113627156821922569653207467647e-21,0.5152511525882048371744352605897200831983165573898509622341988486805959600215141009493822232851505715